name,amenity,library_id,operator_type,operator,street,housenumber,postcode,city,country,opening_hours,wheelchair_accessible,toilets_wheelchair,level,internet_access,isil_code,email,phone,contact_phone,website,contact_website,final_email,final_phone,website_url,longitude,latitude,geometry,district,neighbourhood,neighbourhood_id,district_id
Bruno-Lösche-Bibliothek,library,29071031,,,Perleberger Straße,33,10559,Berlin,DE,Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,no,,,DE-B707,,+49 30901833025,,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,,,+49 30901833025,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,13.3475136,52.5312448,POINT (13.3475136 52.5312448),Mitte,Moabit,0102,11001001
Anton-Saefkow-Bibliothek,library,60848456,,,Anton-Saefkow-Platz,14,10369,Berlin,DE,"Sa 09:00-18:00; Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00",yes,,,,,,,+4930902963773,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,,,+4930902963773,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,13.4708382,52.5307772,POINT (13.4708382 52.5307772),Lichtenberg,Fennpfuhl,1111,11011011
Stadtteilbibliothek Erich Weinert,library,203557001,,,Helene-Weigel-Platz,4,12681,Berlin,DE,"Mo,Tu,Th 14:00-18:00; We,Fr 09:00-13:00; Su,PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",limited,,,,,,+49 30 5429251,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,,,+49 30 5429251,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,13.538715,52.5281578,POINT (13.538715 52.5281578),Marzahn-Hellersdorf,Marzahn,1001,11010010
Stadtteilbibliothek Halemweg,library,256922190,,,Halemweg,18,13627,Berlin,DE,,yes,,,wlan,none,,,,,,,,,13.2871861,52.5375039,POINT (13.2871861 52.5375039),Charlottenburg-Wilmersdorf,Charlottenburg-Nord,0406,11004004
Bezirkszentralbibliothek Spandau,library,257708789,,,Carl-Schurz-Straße,13,13597,Berlin,DE,"Mo-Fr 11:00-19:00;
Mo-Fr 10:00-11:00 ""ohne Fachpersonal"";
Sa 10:00-15:00;
Sa 15:00-18:00 ""ohne Fachpersonal"";
So 10:00-18:00 ""ohne Fachpersonal"";",yes,,,wlan,,,,+49 30 90279 5537,,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,bibliothek@ba-spandau.berlin.de,+49 30 90279 5537,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,13.2013864,52.5361334,POINT (13.2013864 52.5361334),Spandau,Spandau,0501,11005005
Bezirkszentralbibliothek Mark Twain,library,263679066,,,Marzahner Promenade,52-54,12679,Berlin,DE,"Mo,Tu,Th,Fr 10:00-19:30; We 14:00-19:30; Sa 10:00-14:00",yes,,,,DE-B2228,,,+49 30 54704154,https://www.berlin.de/bibliotheken-mh/,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,,+49 30 54704154,https://www.berlin.de/bibliotheken-mh/,13.556704,52.54722,POINT (13.556704 52.54722),Marzahn-Hellersdorf,Marzahn,1001,11010010
Ibero-Amerikanisches Institut,library,264776935,,Stiftung Preußischer Kulturbesitz,Potsdamer Straße,37,10785,Berlin,Germany,Mo-Sa 08:00-22:00,limited,no,,wlan,DE-204,,,,https://www.iai.spk-berlin.de/,,,,https://www.iai.spk-berlin.de/,13.369701,52.5068092,POINT (13.369701 52.5068092),Mitte,Tiergarten,0104,11001001
Bezirkszentralbibliothek Philipp Schaeffer,library,266540876,,,Brunnenstraße,181,10119,Berlin,DE,Mo-Fr 10:00-19:30; Sa 10:00-14:00,yes,yes,,wlan,DE-B456,service@stb-mitte.de,+49 30 90182 4444;+49 30 90182 4422;+49 30 90182 4431,,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,,service@stb-mitte.de,+49 30 90182 4444;+49 30 90182 4422;+49 30 90182 4431,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,13.3986959,52.5316059,POINT (13.3986959 52.5316059),Mitte,Mitte,0101,11001001
Stadtteilbibliothek Mahlsdorf,library,266629485,,,Alt-Mahlsdorf,24-26,12623,Berlin,DE,"Mo 13:00-17:00, Tu,Th 13:00-19:00, We,Fr 10:00-14:00; PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",yes,,,wlan,,bibl.service@ba-mh.berlin.de,+49 30 5676866,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,,bibl.service@ba-mh.berlin.de,+49 30 5676866,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,13.6127893,52.5055546,POINT (13.6127893 52.5055546),Marzahn-Hellersdorf,Mahlsdorf,1004,11010010
Philologische Bibliothek,library,271685475,university,Freie Universität Berlin,Habelschwerdter Allee,45,14195,Berlin,DE,Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00,yes,yes,,yes,DE-188-920,,,,https://www.fu-berlin.de/sites/philbib/index.html,,,,https://www.fu-berlin.de/sites/philbib/index.html,13.2883334,52.4518573,POINT (13.2883334 52.4518573),Steglitz-Zehlendorf,Dahlem,0605,11006006
