element,id,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,check_date,check_date:opening_hours,description,name,opening_hours,phone,ref:isil,toilets:wheelchair,website,wheelchair,wheelchair:description,wikidata,wikimedia_commons,wikipedia,contact:phone,internet_access,internet_access:fee,internet_access:operator,contact:email,contact:website,garden:type,note,operator,wheelchair:description:de,email,short_name,name:en,operator:type,operator:wikidata,ref,air_conditioning,access,changing_table,kids_area:indoor,level,source,toilets,toilets:access,alt_name,contact:fax,outdoor_seating,fax,room:group_study,room:study_cabin,service:copy,service:scanner,addr:housename,addr:place,layer,name:etymology:wikidata,name:de,operator:wikipedia,official_name,addr:floor,internet_access:ssid,fixme,old_name,books:language:de,books:language:en,books:language:es,books:language:fr,books:language:ru,dog,indoor,language:de,language:en,language:others,name:it,smoking,wheelchair:description:en,wheelchair:description:eo,facebook,fee:icom_member,loc_name,min_age,name:fr,image,logo,ref:vatin,entrance,books,survey:date,ref:bik,ref:dbs,start_date,contact:facebook,contact:instagram,description:de,building,roof:shape,brand,building:colour,building:levels,building:material,heritage,heritage:operator,lda:criteria,network,network:short,network:wikidata,network:wikipedia,ref:lda,roof:levels,roof:colour,construction,postal_code,contact:twitter,short_name:en,name:ja,heritage:website,architect,name:ru,polling_station,building:part,blind:description:de,alt_name_1,baby_feeding,building:levels:underground,payment:cash,payment:credit_cards,payment:debit_cards,payment:girocard,payment:mastercard,payment:visa,room,contact:mastodon,mapillary,research_institution,type,architect:wikidata,branch,building:architecture,fee,name:es,name:he,name:ko,name:no,name:pl,name:tr,name:zh,wheelchair:url,year_of_construction,roof:material
node,29071031,POINT (13.3475136 52.5312448),Berlin,DE,33,10559,Perleberger Straße,Moabit,library,2025-07-10,2025-07-10,"Mo.-Fr. 11.00 - 19.30 Uhr, Sa. 10.00 - 14.00 Uhr",Bruno-Lösche-Bibliothek,Mo-Fr 10:00-19:30; Sa 10:00-14:00,+49 30901833025,DE-B707,no,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,yes,Hat eine Rampe durch die Aktion www.tausendundeinerampe.de,Q28681449,Category:Bruno-Lösche-Bücherei,de:Bruno-Lösche-Bibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,60848456,POINT (13.4708382 52.5307772),Berlin,DE,14,10369,Anton-Saefkow-Platz,,library,,2025-03-04,,Anton-Saefkow-Bibliothek,"Sa 09:00-18:00; Mo,Tu 09:00-19:00; We 13:00-19:00; Th,Fr 09:00-18:00",,,,http://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,yes,,Q28738330,,,+4930902963773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,203557001,POINT (13.538715 52.5281578),Berlin,DE,4,12681,Helene-Weigel-Platz,Marzahn,library,,,,Stadtteilbibliothek Erich Weinert,"Mo,Tu,Th 14:00-18:00; We,Fr 09:00-13:00; Su,PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",+49 30 5429251,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-erich-weinert/,limited,Zugang ohne Stufen,Q110626815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,256922190,POINT (13.2871861 52.5375039),Berlin,DE,18,13627,Halemweg,Charlottenburg-Nord,library,,,WLAN frei für 30 Minuten,Stadtteilbibliothek Halemweg,,,none,,,yes,,Q55153230,,,,wlan,no,QSC AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,257708789,POINT (13.2013864 52.5361334),Berlin,DE,13,13597,Carl-Schurz-Straße,Spandau,library,,,,Bezirkszentralbibliothek Spandau,"Mo-Fr 11:00-19:00;
Mo-Fr 10:00-11:00 ""ohne Fachpersonal"";
Sa 10:00-15:00;
Sa 15:00-18:00 ""ohne Fachpersonal"";
So 10:00-18:00 ""ohne Fachpersonal"";",,,,,yes,,Q15848809,,de:Stadtbibliothek Spandau,+49 30 90279 5537,wlan,,,bibliothek@ba-spandau.berlin.de,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,263679066,POINT (13.556704 52.54722),Berlin,DE,52-54,12679,Marzahner Promenade,Marzahn,library,,,,Bezirkszentralbibliothek Mark Twain,"Mo,Tu,Th,Fr 10:00-19:30; We 14:00-19:30; Sa 10:00-14:00",,DE-B2228,,https://www.berlin.de/bibliotheken-mh/,yes,Die obere Etage der Bibliothek ist über Umwege durch das Treppenhaus erreichbar.,Q28681443,Category:Bezirkszentralbibliothek Mark Twain,,+49 30 54704154,,,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,roof_garden,Weltacker-Club-Mitglied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,264776935,POINT (13.369701 52.5068092),,,37,10785,Potsdamer Straße,,library,,2022-10-03,,Ibero-Amerikanisches Institut,Mo-Sa 08:00-22:00,,DE-204,no,https://www.iai.spk-berlin.de/,limited,,Q28737641,,,,wlan,,,,,,,Stiftung Preußischer Kulturbesitz,"Veranstaltungsraum Símon Bolívar-Saal nicht zugänglich per Fahrstuhl, Anmeldung erforderlich, keine behindertengerechte Toilette",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266540876,POINT (13.3986959 52.5316059),Berlin,DE,181,10119,Brunnenstraße,Mitte,library,,,,Bezirkszentralbibliothek Philipp Schaeffer,Mo-Fr 10:00-19:30; Sa 10:00-14:00,+49 30 90182 4444;+49 30 90182 4422;+49 30 90182 4431,DE-B456,yes,http://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,yes,"Has raised platform and lower floor with steps in children's section on basement. In other words, it has been made less accessible by design.",Q28657184,Category:Philipp-Schaeffer-Bibliothek,de:Bezirkszentralbibliothek Philipp Schaeffer,,wlan,no,,,,,,,,service@stb-mitte.de,Philipp-Schaeffer-Bibliothek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266629485,POINT (13.6127893 52.5055546),Berlin,DE,24-26,12623,Alt-Mahlsdorf,Mahlsdorf,library,,,,Stadtteilbibliothek Mahlsdorf,"Mo 13:00-17:00, Tu,Th 13:00-19:00, We,Fr 10:00-14:00; PH off; 2024 May 10,2024 Jun 12,2024 Oct 04,2024 Nov 08,2024 Dec 23,2024 Dec 27,2024 Dec 30 off",+49 30 5676866,,,https://www.berlin.de/bibliotheken-mh/bibliotheken/stadtteilbibliothek-mahlsdorf/,yes,,Q125306890,,,,wlan,,,,,,,,,bibl.service@ba-mh.berlin.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,271685475,POINT (13.2883334 52.4518573),Berlin,DE,45,14195,Habelschwerdter Allee,Dahlem,library,,,,Philologische Bibliothek,Mo-Fr 09:00-22:00; Sa-Su 10:00-20:00,,DE-188-920,yes,https://www.fu-berlin.de/sites/philbib/index.html,yes,,Q875031,,de:Philologische Bibliothek der Freien Universität Berlin,,yes,,,,,,,Freie Universität Berlin,,,,Philological Library,university,Q2496344,DE-188-920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
